"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 25 07:09:52 UTC 2026","Fri Sep 25 07:09:53 UTC 2026","483","tests.ui","test_login","TestLogin","","","test_locked_out_user[firefox]","Verify that locked out accounts are blocked from authenticating."
"passed","Fri Sep 25 07:09:53 UTC 2026","Fri Sep 25 07:09:53 UTC 2026","439","tests.ui","test_login","TestLogin","","","test_successful_login[firefox]","Verify that standard users can authenticate successfully and reach the inventory dashboard."
"passed","Fri Sep 25 07:09:48 UTC 2026","Fri Sep 25 07:09:48 UTC 2026","278","tests.api","test_endpoints","TestUserApi","","","test_get_users_list","Verify GET /users returning status 200 and valid JSON data structure."
"passed","Fri Sep 25 07:09:51 UTC 2026","Fri Sep 25 07:09:53 UTC 2026","1754","tests.ui","test_checkout","TestCheckout","","","test_e2e_checkout_flow[firefox]","Verify complete customer journey: Authentication -> Cart Selection -> Shipping Details -> Order Finalization."
"passed","Fri Sep 25 07:09:48 UTC 2026","Fri Sep 25 07:09:48 UTC 2026","242","tests.api","test_endpoints","TestUserApi","","","test_update_user","Verify PUT /users/{id} updates user details with status 200."
"passed","Fri Sep 25 07:09:48 UTC 2026","Fri Sep 25 07:09:49 UTC 2026","159","tests.api","test_endpoints","TestUserApi","","","test_delete_user","Verify DELETE /users/{id} returns status 204 No Content."
"passed","Fri Sep 25 07:09:51 UTC 2026","Fri Sep 25 07:09:52 UTC 2026","930","tests.ui","test_login","TestLogin","","","test_invalid_password_login[firefox]","Verify that login fails with appropriate error prompt when using invalid password."
"passed","Fri Sep 25 07:09:48 UTC 2026","Fri Sep 25 07:09:49 UTC 2026","150","tests.api","test_endpoints","TestUserApi","","","test_create_user","Verify POST /users creates user record and returns status 201 with generated ID."
